id,name,headquarters,employeesSize,industryType,websiteList/0,websiteList/1,websiteList/2,websiteList/3,happinessScore,reviewScore,jobOffersCount,websiteList/4,websiteList/5,websiteList/6,websiteList/7,websiteList/8,websiteList/9,websiteList/10,websiteList/11
780f8b08-6748-4a2f-94d5-7ed76929eacd,Whole Foods Market,"Austin, TX, USA","10,000+",Retail & Wholesale,https://www.instagram.com/wholefoodscareers,https://www.linkedin.com/company/whole-foods-market,http://www.wholefoods.com/careers,,61,3.7,95,,,,,,,,
c9378ff3-0a63-434a-979f-a9b928d2dd32,Hexagon Mining,Tucson,51 to 200,,https://www.hexagonmining.com/,,,,,2.7,10,,,,,,,,
73f961f3-a017-4d2a-9530-0104380cdb65,Kimley-Horn,,"5,001 to 10,000",Management & Consulting,https://www.kimley-horn.com/,,,,65,3.5,796,,,,,,,,
03e1c2d5-3e73-4455-8adf-748b0b142bdf,Align Technology,"San Jose, CA","5,001 to 10,000",Manufacturing,https://www.aligntech.com/,,,,,3.8,265,,,,,,,,
a39ea1ea-355a-40dc-b8ca-65b23fd180f3,Siemens,Werner-von-Siemens-Straße 1 80333 München,"10,000+",Energy & Utilities,https://new.siemens.com/global/en/company/jobs.html,https://www.linkedin.com/company/siemens/mycompany/verification/,http://www.siemens.com/,,66,4,3844,,,,,,,,
f90552e7-555d-44ca-9254-9375ee8fe8db,Flogistix,Oklahoma City,51 to 200,Transportation Management,http://www.flogistix.com/,,,,,3.6,23,,,,,,,,
b91ceb61-8d29-4fe0-b3ed-d0ca4af82ba7,Battelle,"Battelle 505 King Ave. Columbus, Ohio 43201 1.800.201.2011","10,000+",Nonprofit & NGO,https://jobs.battelle.org/,https://battelle.org/,,,69,3.8,367,,,,,,,,
514a1294-6035-40a6-b7a2-8ecaa95b1014,General Dynamics Mission Systems,"12450 Fair Lakes Circle Fairfax, VA 22033","10,000+",Aerospace & Defense,https://gdmissionsystems.com/careers/,https://www.jobs.net/jobs/gdmissionsystems/join?joinpath=Exportablejoin,https://gdmissionsystems.com/,,65,3.7,599,,,,,,,,
f04def1b-eaab-43ad-9e0f-c86052fc1834,CoreLogic,"40 Pacifica, Ste. 900 Irvine, CA 92618 United States","5,001 to 10,000",Financial Services,http://www.corelogic.com/,,,,58,3.3,354,,,,,,,,
bb99ffab-6334-4950-ab7a-cf2f6a7c0bbb,Optiver,Amsterdam,"501 to 1,000",Financial Services,http://www.optiver.com/chicago/,,,,,3.4,27,,,,,,,,
c04fe186-ca56-4094-a92b-61fc65806c79,Miller-Valentine Group,"409 E. Monument Avenue Suite 200 Dayton, OH 45402",51 to 200,Real Estate,http://www.mvg.com/,,,,,3.4,39,,,,,,,,
5ad8479f-f993-41f7-a2e9-bd5d13e23456,Jenner & Block LLP,"Chicago, IL","501 to 1,000",Law Firms,https://www.jenner.com/,,,,,3.8,3,,,,,,,,
